manufacturer,date,customer,dealer,order_number,amount
Front of the House,12/19/2014,Hospitality Resource Coco,Dots,3147616,12.00 
Front of the House,1/5/2015,General Hotel,General Hotel,600080,"1,896.60 "
Front of the House,1/5/2015,Hunters Run-Hunters Run Prop,Edward Don,600014,326.88 
Front of the House,1/5/2015,Kansas Marine,Kansas Marine,600033,"4,932.00 "
Front of the House,1/5/2015,Kurdi's Mediterranean Grill,Louis Wohl,600023,55.56 
Front of the House,1/5/2015,Restaurant Warehouse,Restaurant Warehouse,600068,576.00 
Front of the House,1/5/2015,Restaurant Warehouse,Restaurant Warehouse,600077,885.72 
Front of the House,1/5/2015,Rollot Design Inc.,Rollot Designs Inc,600011,364.68 
Front of the House,1/5/2015,Wall St Cantina,Louis Wohl,600020,99.12 
Front of the House,1/5/2015,Wall St Cantina,Louis Wohl,600022,99.12 
Front of the House,1/6/2015,Bonita Bay Club,Edward Don,600096,92.00 
Dudson,1/6/2015,Disney Fantasy,Disney Cruise Line,147704,"3,742.68 "
Dudson,1/6/2015,Disney Fantasy,Disney Cruise Line,147707,"2,216.90 "
Dudson,1/6/2015,Disney Fantasy,Disney Cruise Line,147711,"4,539.39 "
Dudson,1/6/2015,Disney Wonder,Disney Cruise Line,147705,852.15 
Front of the House,1/6/2015,General Hotel,General Hotel,600118,583.25 
Front of the House,1/6/2015,Hudson at Waterway East,Supplies on the Fly,600187,506.52 
Front of the House,1/6/2015,Hunters Run-Hunters Run Prop,Edward Don,600087,484.16 
Front of the House,1/6/2015,Iguana Mia Inc,Edward Don,600129,"1,624.50 "
Front of the House,1/6/2015,Jupiter Beach Resort,Atlantic Purchasing,600178,130.68 
Front of the House,1/6/2015,JW Marriott Orlando,Wasserstrom,600093,"4,743.60 "
Front of the House,1/6/2015,Marriott Delray Beach,Atlantic Purchasing,600177,"3,983.08 "
Front of the House,1/6/2015,Marriott Key Largo,Atlantic Purchasing,600176,166.08 
Front of the House,1/6/2015,Rollot Design Inc.,Rollot Designs Inc,600122,255.12 
Front of the House,1/6/2015,Sushi Jo,Cheney Brothers,600144,88.20 
Front of the House,1/6/2015,Suzy Qs Hometown Diner,Food Service Warehouse,600125,228.24 
Front of the House,1/6/2015,Tiburon of Naples Golf Club,Edward Don,600137,333.36 
Front of the House,1/6/2015,Tomson Hospitality,Tomson Hospitality,600111,991.20 
Front of the House,1/6/2015,WDW Animal Kingdom,Edward Don,600108,412.08 
Front of the House,1/6/2015,WDW Dolphin,Dolphin Hotel Assoc,600183,150.00 
Front of the House,1/6/2015,West Kendall Baptist,US Foods,600086,625.70 
Front of the House,1/7/2015,Bath and Tennis Club Inc,Edward Don,600241,754.80 
Front of the House,1/7/2015,Bayside A Seafood Grill & Bar,Edward Don,600102,527.76 
Front of the House,1/7/2015,Beachplace Towers,Wasserstrom,600221,"7,100.16 "
Front of the House,1/7/2015,Bella Brava,TriMark Strategic,600154,435.36 
Front of the House,1/7/2015,Brookdale Cypress Village,Edward Don,600272,57.42 
Front of the House,1/7/2015,Buccan,Edward Don,600261,59.40 
Front of the House,1/7/2015,Christopher's Kitchen,Cheney Brothers,600153,84.72 
Front of the House,1/7/2015,City Oyster,Edward Don,600274,287.76 
Front of the House,1/7/2015,Courtyard Albeuerque,Atlantic Purchasing,600216,79.68 
Front of the House,1/7/2015,Disney Wonder,Edward Don,600307,209.76 
Front of the House,1/7/2015,Finnegan's Beachside Pub,Supplies on the Fly,600324,75.00 
Front of the House,1/7/2015,Hilton Fort Lauderdale,Edward Don,600270,519.84 
Front of the House,1/7/2015,Hilton Singer Island,Edward Don,600263,108.72 
Front of the House,1/7/2015,Indigenous,Edward Don,600264,55.56 
Front of the House,1/7/2015,Int'l Polo Club,Cheney Brothers,600218,598.72 
Front of the House,1/7/2015,Jupiter Country Club,Edward Don,600268,87.12 
Front of the House,1/7/2015,Kona Grill Tampa,Edward Don,600267,68.40 
Front of the House,1/7/2015,Lost Tree Club,Edward Don,600246,"1,424.48 "
Front of the House,1/7/2015,Marriott Harbor Beach,Wasserstrom,600226,256.80 
Front of the House,1/7/2015,Marriott Sawgrass,Wasserstrom,600254,374.88 
Front of the House,1/7/2015,Omei Chinese Cuisine,Edward Don,600306,335.16 
Front of the House,1/7/2015,Restaurant People BCH Blvd,Edward Don,600269,476.04 
Front of the House,1/7/2015,Riviera Facility-CBI,Cheney Brothers,600217,529.50 
Front of the House,1/7/2015,Saddlebrook Resorts,Edward Don,600308,134.88 
Front of the House,1/7/2015,Southernmost Beach Bar,Edward Don,600222,68.50 
Front of the House,1/7/2015,Southernmost Beach Bar,Edward Don,600225,68.50 
Front of the House,1/7/2015,Timpano Tampa,Edward Don,600259,41.52 
Front of the House,1/7/2015,Trump Resort Doral,RW Smith,600342,417.64 
Front of the House,1/7/2015,WDW Animal Kingdom,Edward Don,600319,308.88 
Dudson,1/7/2015,WDW Crystal Palace,Edward Don,147747,306.54 
Front of the House,1/7/2015,WDW Grand Floridian,Edward Don,600313,156.00 
Front of the House,1/8/2015,American Food Equipment,American Food Equipment,600364,"1,565.04 "
Front of the House,1/8/2015,Brasserie Central,Gordon Food Service,600526,54.24 
Dudson,1/8/2015,Disney Dream,Disney Cruise Line,147764,"3,902.70 "
Dudson,1/8/2015,Disney Dream,Disney Cruise Line,147764,"3,902.70 "
Front of the House,1/8/2015,Dulcet Restaurant & Lounge,Gordon Food Service,600522,80.40 
Front of the House,1/8/2015,Dulcet Restaurant & Lounge,Gordon Food Service,600517,199.62 
Front of the House,1/8/2015,Edward Don,Edward Don,600523,226.10 
Front of the House,1/8/2015,Edward Don,Edward Don,600523,226.10 
Front of the House,1/8/2015,Flippers on the Bay,Edward Don,600569,192.24 
Front of the House,1/8/2015,Food Service Co-Op,Food Service Co-Op,600365,96.24 
Front of the House,1/8/2015,General Hotel,General Hotel,600368,"1,533.72 "
Front of the House,1/8/2015,General Hotel,General Hotel,600375,108.24 
Front of the House,1/8/2015,Guppy's on the Beach,Louis Wohl,600504,363.60 
Front of the House,1/8/2015,Harborchase,US Foods,600404,137.70 
Front of the House,1/8/2015,Miami Airport Hilton,Edward Don,600387,63.96 
Front of the House,1/8/2015,Rollot Design Inc.,Rollot Designs Inc,600371,235.60 
Front of the House,1/8/2015,Rosen Shingle Creek,Gordon Food Service,600497,"8,816.00 "
Front of the House,1/8/2015,Rosies Bar and Grill,Sysco Food Service of South Florida,600479,365.10 
Front of the House,1/8/2015,Saddlebrook Resorts,Edward Don,600490,106.08 
Dudson,1/8/2015,San Angel Inn,San Angel Inn,147756,"5,773.32 "
Dudson,1/8/2015,San Angel Inn,San Angel Inn,147756,"5,773.32 "
Front of the House,1/8/2015,Seminole Blue Plate,US Foods,600417,363.60 
Front of the House,1/8/2015,Tequesta Country Club,Food Service Warehouse,600426,76.68 
Front of the House,1/8/2015,The Breakers Hotel,RW Smith,600403,322.56 
Front of the House,1/8/2015,WDW Animal Kingdom,Edward Don,600381,222.48 
Front of the House,1/8/2015,Zen Bistro,Edward Don,600530,101.52 
Front of the House,1/9/2015,Dulcet Restaurant & Lounge,Gordon Food Service,600668,54.48 
Dudson,1/9/2015,San Angel Inn,Edward Don,147806,892.80 
Dudson,1/9/2015,WDW Pioneer Hall,Edward Don,147814,127.08 
Dudson,1/9/2015,WDW Polynesian,Edward Don,147813,"1,149.12 "
Front of the House,1/12/2015,Atlantic Distributors,Atlantic Distributors,600854,104.40 
Front of the House,1/12/2015,Dulcet Restaurant & Lounge,Gordon Food Service,600799,270.24 
Front of the House,1/12/2015,Fuego by Mana,Sysco Food Service of South Florida,600821,647.64 
Front of the House,1/12/2015,Quality Foods/ Paradise FR,Dots,3149484,337.50 
Dudson,1/12/2015,WDW Crystal Palace,Edward Don,147819,306.54 
Dudson,1/12/2015,WDW Old Key West,Edward Don,147854,254.16 
Front of the House,1/13/2015,3030 ocean harbor beach marriott,Food Service Warehouse,600979,86.50 
Dudson,1/13/2015,Disney Dream,Disney Cruise Line,147879,"1,817.33 "
Holsag Canada,1/13/2015,Meg O'Malleys,Downing Management ,181081,"5,188.79 "
Front of the House,1/13/2015,The Shipyard Restaurant LTD,Food Service Warehouse,600993,113.00 
Front of the House,1/14/2015,Dulcet Restaurant & Lounge,Gordon Food Service,601070,58.68 
Front of the House,1/15/2015,Anderson Fabrics,Anderson Fabrics,601197,267.08 
Bertolini HD,1/15/2015,Bargreen Ellinson,Bargreen Ellinson,50085,"3,880.00 "
Bertolini HD,1/15/2015,Bellaggio Residents,Bellaggio Residents,50808,"17,175.00 "
Dudson,1/15/2015,Disney Fantasy,Disney Cruise Line,147939,588.40 
Dudson,1/15/2015,Disney Fantasy,Disney Cruise Line,147939,588.90 
Front of the House,1/15/2015,Gordon Food Service,Gordon Food Service,601222,641.76 
Front of the House,1/15/2015,Gordon Food Service,Gordon Food Service,601228,390.00 
Front of the House,1/15/2015,Gulfstream Bath Club,General Hotel,601205,95.76 
Front of the House,1/15/2015,Iguana Mia Inc,Edward Don,601207,763.80 
Front of the House,1/15/2015,St Andrews Country Club,RW Smith,601227,495.84 
Front of the House,1/15/2015,Sushi Pop,Edward Don,601177,158.52 
Bertolini HD,1/15/2015,The Cypress Club,Atlanta Fixture,51063,"24,900.00 "
Front of the House,1/15/2015,The Polo Club of Boca Raton,RW Smith,601221,351.00 
Front of the House,1/15/2015,WDW Dolphin,Dolphin Hotel Assoc,601187,367.68 
Front of the House,1/15/2015,Windsor Club Inc,Edward Don,601264,77.52 
Front of the House,1/16/2015,Ameilia Island Equity Club,Edward Don,601300,114.84 
Front of the House,1/16/2015,Arthurs Catering,Edward Don,601326,844.20 
Front of the House,1/16/2015,Biltmore Hotel,Edward Don,601376,608.04 
Front of the House,1/16/2015,Buccan,Edward Don,601306,221.40 
Front of the House,1/16/2015,Club At Barefoot Beach,Edward Don,601290,161.10 
Front of the House,1/16/2015,Hyde Out,Edward Don,601361,332.70 
Front of the House,1/16/2015,miromar lakes beach club,Edward Don,601322,92.28 
Front of the House,1/16/2015,Nanking,Supplies on the Fly,601309,40.80 
Front of the House,1/16/2015,Nanking,Supplies on the Fly,601310,739.80 
Front of the House,1/16/2015,portobello yacht club,TriMark Century Concepts,607359,159.12 
Front of the House,1/16/2015,Rollot Design Inc.,Rollot Designs Inc,601293,111.60 
